,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.928,116.82060608267784,0.952,0.904,0.9296875,0.9083969465648855,dataset_12
0,0.924,106.87064892053604,0.908,0.94,0.9227642276422764,0.9380165289256198,dataset_6
0,0.914,108.17776593565941,0.908,0.92,0.9134808853118712,0.9190283400809717,dataset_1
0,0.912,113.04470923542976,0.9,0.924,0.9109311740890689,0.9221311475409836,dataset_9
0,0.902,127.64285662770271,0.94,0.864,0.905587668593449,0.8736059479553904,dataset_7
0,0.93,102.80779433250427,0.9,0.96,0.9278350515463918,0.9574468085106383,dataset_3
0,0.902,121.23357078433037,0.94,0.864,0.905587668593449,0.8736059479553904,dataset_20
0,0.908,118.28641667962074,0.952,0.864,0.9118773946360154,0.875,dataset_2
0,0.926,103.53115576505661,0.924,0.928,0.9258517034068137,0.927710843373494,dataset_10
0,0.918,99.50661692023277,0.908,0.928,0.9171717171717172,0.926530612244898,dataset_17
0,0.92,109.19284191727638,0.944,0.896,0.921875,0.9007633587786259,dataset_13
0,0.932,95.3183524608612,0.932,0.932,0.932,0.932,dataset_4
0,0.922,114.58951923251152,0.928,0.916,0.9224652087475149,0.9169960474308301,dataset_16
0,0.93,102.11629250645638,0.948,0.912,0.931237721021611,0.915057915057915,dataset_14
0,0.928,105.73369696736336,0.9,0.956,0.9259259259259259,0.9533898305084746,dataset_15
0,0.926,105.38488367199898,0.924,0.928,0.9258517034068137,0.927710843373494,dataset_19
0,0.908,108.80599361658096,0.896,0.92,0.9068825910931174,0.9180327868852459,dataset_18
0,0.922,104.64235877990723,0.924,0.92,0.9221556886227545,0.9203187250996016,dataset_11
0,0.92,109.40466833114624,0.948,0.892,0.9221789883268483,0.8977272727272727,dataset_8
0,0.912,114.45992216467857,0.876,0.948,0.9087136929460581,0.9439655172413793,dataset_5
