,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.93,103.39072281122208,0.92,0.94,0.9292929292929293,0.9387755102040817,dataset_12
0,0.93,91.59160363674164,0.952,0.908,0.9315068493150684,0.9118773946360154,dataset_6
0,0.94,99.75660625100136,0.944,0.936,0.9402390438247012,0.9365079365079365,dataset_1
0,0.924,106.04746517539024,0.888,0.96,0.921161825726141,0.9568965517241379,dataset_9
0,0.924,106.23390758037567,0.928,0.92,0.9243027888446215,0.9206349206349206,dataset_7
0,0.936,94.83290275931358,0.924,0.948,0.9352226720647774,0.9467213114754098,dataset_3
0,0.934,103.47797787189484,0.924,0.944,0.9333333333333333,0.9428571428571428,dataset_20
0,0.924,99.61554184556007,0.912,0.936,0.9230769230769231,0.9344262295081968,dataset_2
0,0.934,95.66245919466019,0.92,0.948,0.9330628803245437,0.9465020576131687,dataset_10
0,0.924,102.35262820124626,0.92,0.928,0.9236947791164659,0.9274193548387096,dataset_17
0,0.932,102.05857068300247,0.908,0.956,0.930327868852459,0.9537815126050421,dataset_13
0,0.908,119.20451158285141,0.936,0.88,0.9105058365758755,0.8863636363636364,dataset_4
0,0.93,106.1654101908207,0.94,0.92,0.9306930693069307,0.9215686274509803,dataset_16
0,0.92,97.85162135958672,0.908,0.932,0.9190283400809717,0.930327868852459,dataset_14
0,0.934,97.33745586872101,0.952,0.916,0.9351669941060904,0.918918918918919,dataset_15
0,0.938,90.1105152964592,0.948,0.928,0.9386138613861386,0.9294117647058824,dataset_19
0,0.928,97.01351192593575,0.924,0.932,0.927710843373494,0.9314516129032258,dataset_18
0,0.932,93.07020708918571,0.924,0.94,0.9314516129032258,0.9390243902439024,dataset_11
0,0.924,108.9012334048748,0.928,0.92,0.9243027888446215,0.9206349206349206,dataset_8
0,0.934,96.694899559021,0.956,0.912,0.9354207436399217,0.9157088122605364,dataset_5
