,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.94,90.65867528319359,0.92,0.96,0.9387755102040817,0.9583333333333334,dataset_6
0,0.916,92.54546951502562,0.88,0.952,0.9128630705394191,0.9482758620689655,dataset_3
0,0.924,93.0415480285883,0.9,0.948,0.9221311475409836,0.9453781512605042,dataset_2
0,0.94,88.09994246065617,0.916,0.964,0.9385245901639344,0.9621848739495799,dataset_4
0,0.942,87.41420274972916,0.928,0.956,0.9411764705882353,0.9547325102880658,dataset_5
