,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.92,99.39293956756592,0.96,0.88,0.9230769230769231,0.8888888888888888,dataset_6
0,0.946,89.84058275818825,0.96,0.932,0.9467455621301775,0.933852140077821,dataset_3
0,0.93,89.05678288638592,0.952,0.908,0.9315068493150684,0.9118773946360154,dataset_2
0,0.93,88.37630462646484,0.96,0.9,0.9320388349514563,0.9056603773584906,dataset_4
0,0.93,92.06592509150505,0.96,0.9,0.9320388349514563,0.9056603773584906,dataset_5
