,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.93,101.76305289566517,0.948,0.912,0.931237721021611,0.915057915057915,dataset_6
0,0.918,105.41652140021324,0.936,0.9,0.9194499017681729,0.9034749034749034,dataset_3
0,0.918,98.52514271438122,0.932,0.904,0.9191321499013807,0.9066147859922179,dataset_2
0,0.938,96.28457214683294,0.936,0.94,0.9378757515030061,0.9397590361445783,dataset_4
0,0.934,100.02102167904377,0.936,0.932,0.9341317365269461,0.9322709163346613,dataset_5
