,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.876,135.206342831254,0.772,0.98,0.8616071428571429,0.9747474747474747,dataset_6
0,0.88,136.42845037579536,0.772,0.988,0.8654708520179372,0.9846938775510204,dataset_3
0,0.87,140.50682143121958,0.752,0.988,0.8526077097505669,0.9842931937172775,dataset_2
0,0.874,144.26293379068375,0.764,0.984,0.8584269662921349,0.9794871794871794,dataset_4
0,0.872,148.230186522007,0.756,0.988,0.8552036199095022,0.984375,dataset_5
