,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.924,87.68618716299534,0.952,0.896,0.9260700389105059,0.9015151515151515,dataset_6
0,0.932,87.49288554489613,0.968,0.896,0.9343629343629344,0.9029850746268657,dataset_3
0,0.94,85.47195075452328,0.948,0.932,0.9404761904761905,0.9330708661417323,dataset_2
0,0.936,93.457160577178,0.956,0.916,0.9372549019607843,0.9192307692307692,dataset_4
0,0.922,94.10499135404825,0.92,0.924,0.9218436873747495,0.9236947791164659,dataset_5
