,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.864,160.63904158771038,0.996,0.732,0.8798586572438163,0.7879746835443038,dataset_6
0,0.868,156.33880226314068,0.984,0.752,0.8817204301075269,0.7987012987012987,dataset_3
0,0.852,153.0722414702177,0.98,0.724,0.8687943262411347,0.7802547770700637,dataset_2
0,0.848,156.3436637595296,0.988,0.708,0.8666666666666667,0.771875,dataset_4
0,0.856,163.63206969201565,0.992,0.72,0.8732394366197183,0.779874213836478,dataset_5
