,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.918,100.1258117556572,0.92,0.916,0.9181636726546906,0.9163346613545816,dataset_6
0,0.932,99.40433365106583,0.924,0.94,0.9314516129032258,0.9390243902439024,dataset_3
0,0.922,99.89575761556625,0.9,0.944,0.9202453987730062,0.9414225941422594,dataset_2
0,0.92,104.55962780117989,0.904,0.936,0.9186991869918699,0.9338842975206612,dataset_4
0,0.938,95.42455865442753,0.932,0.944,0.937625754527163,0.9433198380566802,dataset_5
