,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.866,153.7234662771225,0.748,0.984,0.8480725623582767,0.9790575916230366,dataset_6
0,0.872,141.41164015233517,0.76,0.984,0.8558558558558559,0.979381443298969,dataset_3
0,0.858,154.33763578534126,0.728,0.988,0.8367816091954023,0.9837837837837838,dataset_2
0,0.826,191.39889012277126,0.664,0.988,0.7923627684964201,0.9822485207100592,dataset_4
0,0.844,171.3340169042349,0.7,0.988,0.8177570093457944,0.9831460674157303,dataset_5
