,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.872,145.90373224020004,0.976,0.768,0.8840579710144928,0.8079470198675497,dataset_6
0,0.88,141.05172806978226,0.992,0.768,0.8920863309352518,0.8104575163398693,dataset_3
0,0.844,172.63211607187986,0.996,0.692,0.8645833333333334,0.7638036809815951,dataset_2
0,0.844,169.03816258907318,0.988,0.7,0.8636363636363636,0.7670807453416149,dataset_4
0,0.876,135.17642314732075,0.984,0.768,0.8880866425992779,0.8092105263157895,dataset_5
