,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.878,133.6042620241642,0.984,0.772,0.8896925858951176,0.8118811881188119,dataset_6
0,0.886,137.41039010882378,0.992,0.78,0.8969258589511754,0.8184818481848185,dataset_3
0,0.886,131.55337791144848,0.992,0.78,0.8969258589511754,0.8184818481848185,dataset_2
0,0.89,135.23944106698036,0.992,0.788,0.9001814882032668,0.8239202657807309,dataset_4
0,0.884,131.55846191942692,0.992,0.776,0.8953068592057761,0.8157894736842105,dataset_5
