,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.88,143.11706113815308,0.792,0.968,0.868421052631579,0.9611650485436893,dataset_6
0,0.874,142.50657469034195,0.776,0.972,0.8603104212860311,0.9651741293532339,dataset_3
0,0.858,160.42305886745453,0.736,0.98,0.8382687927107062,0.9735449735449735,dataset_2
0,0.826,188.45606529712677,0.672,0.98,0.7943262411347518,0.9710982658959537,dataset_4
0,0.864,153.74172386527061,0.748,0.98,0.8461538461538461,0.9739583333333334,dataset_5
