,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.926,96.47522285580635,0.908,0.944,0.924643584521385,0.941908713692946,dataset_6
0,0.918,101.09481972455978,0.904,0.932,0.9168356997971603,0.9300411522633745,dataset_3
0,0.918,100.68774655461311,0.892,0.944,0.9158110882956879,0.9409282700421941,dataset_2
0,0.912,107.72007751464844,0.876,0.948,0.9087136929460581,0.9439655172413793,dataset_4
0,0.92,99.7915443778038,0.88,0.96,0.9166666666666666,0.9565217391304348,dataset_5
