,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.932,88.28646686673164,0.908,0.956,0.930327868852459,0.9537815126050421,dataset_6
0,0.936,87.4897902905941,0.932,0.94,0.9357429718875502,0.9395161290322581,dataset_3
0,0.926,86.4381650686264,0.92,0.932,0.9255533199195171,0.9311740890688259,dataset_2
0,0.926,86.65387842059135,0.928,0.924,0.9261477045908184,0.9243027888446215,dataset_4
0,0.906,115.37755087018013,0.84,0.972,0.8993576017130621,0.967741935483871,dataset_5
