,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.884,141.2093070745468,0.984,0.784,0.8945454545454545,0.82,dataset_6
0,0.872,148.289999127388,0.976,0.768,0.8840579710144928,0.8079470198675497,dataset_3
0,0.876,144.55321490764618,0.984,0.768,0.8880866425992779,0.8092105263157895,dataset_2
0,0.886,148.5858110487461,0.976,0.796,0.8954128440366973,0.8271186440677966,dataset_4
0,0.87,161.6913890838623,0.984,0.756,0.8833034111310593,0.8013029315960912,dataset_5
