,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.85,168.8477085530758,0.968,0.732,0.8658318425760286,0.7831715210355987,dataset_6
0,0.86,152.35351529717445,0.952,0.768,0.8717948717948718,0.8040540540540541,dataset_3
0,0.846,166.69789478182793,0.976,0.716,0.863716814159292,0.7746031746031746,dataset_2
0,0.862,154.64093646407127,0.972,0.752,0.8756756756756757,0.7967213114754098,dataset_4
0,0.846,173.89833766222,0.976,0.716,0.863716814159292,0.7746031746031746,dataset_5
