,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.902,107.1003930568695,0.844,0.96,0.8959660297239915,0.9547511312217195,dataset_6
0,0.916,105.21014976501465,0.864,0.968,0.9113924050632911,0.9642857142857143,dataset_3
0,0.92,96.33010098338127,0.884,0.956,0.91701244813278,0.9525862068965517,dataset_2
0,0.926,93.80103370547295,0.892,0.96,0.9233954451345756,0.9570815450643777,dataset_4
0,0.914,103.06677809357643,0.876,0.952,0.9106029106029107,0.948051948051948,dataset_5
