,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.862,173.36551690101624,0.748,0.976,0.8442437923250564,0.9689119170984456,dataset_6
0,0.874,148.3062010705471,0.768,0.98,0.8590604026845637,0.9746192893401016,dataset_3
0,0.874,148.2988667190075,0.768,0.98,0.8590604026845637,0.9746192893401016,dataset_2
0,0.884,141.84278199076653,0.784,0.984,0.8711111111111111,0.98,dataset_4
0,0.868,164.97835013270378,0.756,0.98,0.8513513513513513,0.9742268041237113,dataset_5
