,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.918,102.63290020823479,0.968,0.868,0.9219047619047619,0.88,dataset_12
0,0.908,110.06927859783173,0.964,0.852,0.9128787878787878,0.8669064748201439,dataset_6
0,0.902,119.9811427295208,0.964,0.84,0.9077212806026366,0.8576512455516014,dataset_1
0,0.92,109.8435689508915,0.968,0.872,0.9236641221374046,0.8832116788321168,dataset_9
0,0.876,129.72519555687904,0.976,0.776,0.8872727272727273,0.8133333333333334,dataset_7
0,0.902,119.9811427295208,0.964,0.84,0.9077212806026366,0.8576512455516014,dataset_3
0,0.922,97.80047672986984,0.964,0.88,0.9251439539347409,0.8892988929889298,dataset_20
0,0.91,116.23264548182487,0.968,0.852,0.9149338374291115,0.8673835125448028,dataset_2
0,0.916,110.56908705830574,0.964,0.868,0.9198473282442748,0.8795620437956204,dataset_10
0,0.906,109.5713624060154,0.952,0.86,0.9101338432122371,0.8717948717948718,dataset_17
0,0.906,118.07296040654182,0.96,0.852,0.9108159392789373,0.8664259927797834,dataset_13
0,0.906,113.29350093007088,0.964,0.848,0.9111531190926276,0.8637992831541219,dataset_4
0,0.792,207.51699209213257,0.996,0.588,0.8272425249169435,0.7073863636363636,dataset_16
0,0.91,112.44327968358994,0.96,0.86,0.9142857142857143,0.8727272727272727,dataset_14
0,0.894,126.08724349737167,0.968,0.82,0.9013035381750466,0.8432055749128919,dataset_15
0,0.908,115.14271730184555,0.968,0.848,0.9132075471698113,0.8642857142857143,dataset_19
0,0.892,117.91955932974815,0.972,0.812,0.9,0.8379310344827586,dataset_18
0,0.928,104.37620612978935,0.948,0.908,0.9294117647058824,0.9115384615384615,dataset_11
0,0.922,103.49103257060051,0.968,0.876,0.9254302103250478,0.8864468864468864,dataset_8
0,0.902,119.9811427295208,0.964,0.84,0.9077212806026366,0.8576512455516014,dataset_5
