,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.908,122.54310142993927,0.844,0.972,0.9017094017094017,0.9678899082568807,dataset_12
0,0.914,126.99396374821663,0.86,0.968,0.9090909090909091,0.9641255605381166,dataset_6
0,0.824,198.87916907668114,0.668,0.98,0.7914691943127962,0.9709302325581395,dataset_1
0,0.924,104.98470094799995,0.876,0.972,0.9201680672268907,0.9690265486725663,dataset_9
0,0.884,131.30689325928688,0.776,0.992,0.8699551569506726,0.9897959183673469,dataset_7
0,0.904,114.2735301554203,0.836,0.972,0.8969957081545065,0.9675925925925926,dataset_3
0,0.882,138.57597211003304,0.8,0.964,0.8714596949891068,0.9569377990430622,dataset_20
0,0.9,134.53345334529877,0.836,0.964,0.8931623931623932,0.9587155963302753,dataset_2
0,0.884,137.99477860331535,0.784,0.984,0.8711111111111111,0.98,dataset_10
0,0.922,109.88709723949432,0.868,0.976,0.9175475687103594,0.9730941704035875,dataset_17
0,0.892,120.4975124001503,0.816,0.968,0.8831168831168831,0.9622641509433962,dataset_13
0,0.898,122.87101566791534,0.82,0.976,0.8893709327548807,0.9715639810426541,dataset_4
0,0.912,112.89705792069435,0.844,0.98,0.9055793991416309,0.9768518518518519,dataset_16
0,0.868,160.84390270709991,0.788,0.948,0.8565217391304348,0.9380952380952381,dataset_14
0,0.896,135.57873770594597,0.812,0.98,0.8864628820960698,0.9759615384615384,dataset_15
0,0.904,132.75723078846931,0.852,0.956,0.8987341772151899,0.9508928571428571,dataset_19
0,0.898,124.84411957859993,0.816,0.98,0.8888888888888888,0.9760765550239234,dataset_18
0,0.874,155.9101051390171,0.792,0.956,0.8627450980392157,0.9473684210526315,dataset_11
0,0.902,129.057364910841,0.844,0.96,0.8959660297239915,0.9547511312217195,dataset_8
0,0.894,127.39979502558708,0.812,0.976,0.8845315904139434,0.9712918660287081,dataset_5
