,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.802,204.42563097178936,0.996,0.608,0.8341708542713567,0.7175792507204611,dataset_12
0,0.778,227.3621654510498,0.992,0.564,0.8171334431630972,0.6946778711484594,dataset_6
0,0.624,335.0920304656029,1.0,0.248,0.7267441860465116,0.5707762557077626,dataset_1
0,0.792,214.12694549560547,0.996,0.588,0.8272425249169435,0.7073863636363636,dataset_9
0,0.638,323.3053124845028,1.0,0.276,0.7342143906020558,0.580046403712297,dataset_7
0,0.814,185.22213308513165,0.992,0.636,0.8421052631578947,0.7315634218289085,dataset_3
0,0.748,251.38960722088814,0.996,0.5,0.7980769230769231,0.6657754010695187,dataset_20
0,0.792,208.90607795119286,0.996,0.588,0.8272425249169435,0.7073863636363636,dataset_2
0,0.812,189.47410842776299,0.992,0.632,0.8406779661016949,0.7294117647058823,dataset_10
0,0.772,241.30166888237,0.996,0.548,0.8137254901960784,0.6878453038674033,dataset_17
0,0.826,189.08094982802868,0.996,0.656,0.8512820512820513,0.7432835820895523,dataset_13
0,0.754,237.83945140242577,1.0,0.508,0.8025682182985554,0.6702412868632708,dataset_4
0,0.784,227.18097713589668,0.996,0.572,0.8217821782178217,0.699438202247191,dataset_16
0,0.774,221.72515827417374,1.0,0.548,0.8156606851549756,0.6887052341597796,dataset_14
0,0.764,239.59530320763588,0.996,0.532,0.8084415584415584,0.680327868852459,dataset_15
0,0.788,208.62498673796654,0.992,0.584,0.8239202657807309,0.7045454545454546,dataset_19
0,0.78,226.2026209384203,0.992,0.568,0.8184818481848185,0.6966292134831461,dataset_18
0,0.786,225.9098303169012,0.996,0.576,0.8231404958677686,0.7014084507042253,dataset_11
0,0.76,229.73065993189812,0.996,0.524,0.8058252427184466,0.6766304347826086,dataset_8
0,0.78,232.1272970288992,0.996,0.564,0.819078947368421,0.6955307262569832,dataset_5
