,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.836,193.02627997100353,0.672,1.0,0.8038277511961722,1.0,dataset_12
0,0.792,216.55821910500526,0.588,0.996,0.7386934673366834,0.9932432432432432,dataset_6
0,0.744,249.36972104012966,0.488,1.0,0.6559139784946236,1.0,dataset_1
0,0.752,234.2326953858137,0.504,1.0,0.6702127659574468,1.0,dataset_9
0,0.81,204.00169382989407,0.624,0.996,0.7665847665847666,0.9936305732484076,dataset_7
0,0.812,209.65985736250877,0.628,0.996,0.7696078431372549,0.9936708860759493,dataset_3
0,0.788,216.01585859060287,0.576,1.0,0.7309644670050761,1.0,dataset_20
0,0.756,246.56668546795845,0.512,1.0,0.6772486772486772,1.0,dataset_2
0,0.798,210.19246113300323,0.596,1.0,0.7468671679197995,1.0,dataset_10
0,0.84,186.59272330999374,0.684,0.996,0.8104265402843602,0.9941860465116279,dataset_17
0,0.698,261.5734826773405,0.396,1.0,0.5673352435530086,1.0,dataset_13
0,0.732,247.41266465187073,0.464,1.0,0.6338797814207651,1.0,dataset_4
0,0.806,209.5088827162981,0.612,1.0,0.7593052109181141,1.0,dataset_16
0,0.796,225.07857777178288,0.592,1.0,0.7437185929648241,1.0,dataset_14
0,0.764,225.82085993885994,0.532,0.996,0.6927083333333334,0.9925373134328358,dataset_15
0,0.74,241.26709562540054,0.48,1.0,0.6486486486486487,1.0,dataset_19
0,0.804,201.0290440171957,0.608,1.0,0.7562189054726368,1.0,dataset_18
0,0.802,198.42653313279152,0.604,1.0,0.7531172069825436,1.0,dataset_11
0,0.77,232.96882286667824,0.54,1.0,0.7012987012987013,1.0,dataset_8
0,0.802,209.52601704746485,0.604,1.0,0.7531172069825436,1.0,dataset_5
