,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.726,254.06348499655724,0.996,0.456,0.784251968503937,0.6467532467532467,dataset_12
0,0.704,264.7531906366348,1.0,0.408,0.7716049382716049,0.628140703517588,dataset_6
0,0.668,286.16363483667374,1.0,0.336,0.7507507507507507,0.6009615384615384,dataset_1
0,0.73,264.1136168241501,1.0,0.46,0.7874015748031497,0.6493506493506493,dataset_9
0,0.81,197.22495302557945,0.988,0.632,0.8387096774193549,0.7286135693215339,dataset_7
0,0.754,235.89229437708855,0.996,0.512,0.8019323671497585,0.6711590296495957,dataset_3
0,0.798,209.27687114477158,0.988,0.608,0.8302521008403362,0.7159420289855073,dataset_20
0,0.674,280.74902206659317,1.0,0.348,0.7541478129713424,0.6053268765133172,dataset_2
0,0.752,232.09588783979416,1.0,0.504,0.8012820512820513,0.6684491978609626,dataset_10
0,0.63,308.012935757637,1.0,0.26,0.7299270072992701,0.5747126436781609,dataset_17
0,0.73,254.1716445684433,1.0,0.46,0.7874015748031497,0.6493506493506493,dataset_13
0,0.698,280.39452996850014,1.0,0.396,0.7680491551459293,0.6234413965087282,dataset_4
0,0.674,280.48916631937027,1.0,0.348,0.7541478129713424,0.6053268765133172,dataset_16
0,0.726,253.3230510354042,0.996,0.456,0.784251968503937,0.6467532467532467,dataset_14
0,0.792,211.2416212260723,0.996,0.588,0.8272425249169435,0.7073863636363636,dataset_15
0,0.808,191.9223628640175,0.984,0.632,0.8367346938775511,0.727810650887574,dataset_19
0,0.738,251.964514285326,1.0,0.476,0.7923930269413629,0.6561679790026247,dataset_18
0,0.776,222.98684459924698,0.988,0.564,0.8151815181518152,0.6938202247191011,dataset_11
0,0.714,271.42385390400887,1.0,0.428,0.7776049766718507,0.6361323155216285,dataset_8
0,0.756,241.3083001077175,1.0,0.512,0.8038585209003215,0.6720430107526881,dataset_5
