,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.91,113.55383960902691,0.84,0.98,0.9032258064516129,0.9767441860465116,dataset_12
0,0.912,112.33561943471432,0.84,0.984,0.9051724137931034,0.9813084112149533,dataset_6
0,0.92,120.29128098487854,0.888,0.952,0.9173553719008265,0.9487179487179487,dataset_1
0,0.914,107.68602454662323,0.864,0.964,0.9094736842105263,0.96,dataset_9
0,0.928,106.02504426240921,0.888,0.968,0.925,0.9652173913043478,dataset_7
0,0.916,121.21504837274551,0.904,0.928,0.9149797570850202,0.9262295081967213,dataset_3
0,0.926,119.0679974257946,0.924,0.928,0.9258517034068137,0.927710843373494,dataset_20
0,0.914,101.28434519469738,0.856,0.972,0.9087048832271762,0.9683257918552036,dataset_2
0,0.912,112.86239491403103,0.848,0.976,0.905982905982906,0.9724770642201835,dataset_10
0,0.898,124.83569142222404,0.812,0.984,0.888402625820569,0.9806763285024155,dataset_17
0,0.904,120.11935922503471,0.832,0.976,0.896551724137931,0.9719626168224299,dataset_13
0,0.924,101.94028331339359,0.88,0.968,0.9205020920502092,0.9649122807017544,dataset_4
0,0.934,100.96154300868511,0.9,0.968,0.9316770186335404,0.9656652360515021,dataset_16
0,0.918,101.42838397622108,0.868,0.968,0.9136842105263158,0.9644444444444444,dataset_14
0,0.898,117.25190454721451,0.812,0.984,0.888402625820569,0.9806763285024155,dataset_15
0,0.892,123.97200533747673,0.8,0.984,0.8810572687224669,0.9803921568627451,dataset_19
0,0.916,128.42066514492035,0.928,0.904,0.9169960474308301,0.90625,dataset_18
0,0.928,99.19458192586899,0.884,0.972,0.9246861924686193,0.9692982456140351,dataset_11
0,0.928,99.8057137876749,0.88,0.976,0.9243697478991597,0.9734513274336283,dataset_8
0,0.928,119.23306219279766,0.92,0.936,0.9274193548387096,0.9349593495934959,dataset_5
