,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.906,113.75870335102081,0.832,0.98,0.8984881209503239,0.9765258215962441,dataset_12
0,0.91,109.07160744071007,0.844,0.976,0.9036402569593148,0.9723502304147466,dataset_6
0,0.908,110.71826255321503,0.864,0.952,0.9037656903765691,0.9473684210526315,dataset_1
0,0.942,94.5403363108635,0.908,0.976,0.9399585921325052,0.9742489270386266,dataset_9
0,0.916,105.16031974554062,0.86,0.972,0.9110169491525424,0.9684684684684685,dataset_7
0,0.908,113.62784990668297,0.836,0.98,0.9008620689655172,0.9766355140186916,dataset_3
0,0.92,97.47856107354164,0.868,0.972,0.9156118143459916,0.96875,dataset_20
0,0.83,192.7533337175846,0.676,0.984,0.7990543735224587,0.976878612716763,dataset_2
0,0.922,99.42797192931175,0.88,0.964,0.918580375782881,0.9606986899563319,dataset_10
0,0.916,108.58838579058647,0.864,0.968,0.9113924050632911,0.9642857142857143,dataset_17
0,0.916,110.9384526014328,0.876,0.956,0.9125,0.9521739130434783,dataset_13
0,0.904,108.39071401953697,0.84,0.968,0.8974358974358975,0.963302752293578,dataset_4
0,0.908,111.3905488550663,0.856,0.96,0.9029535864978903,0.9553571428571429,dataset_16
0,0.906,105.53769433498383,0.836,0.976,0.8989247311827957,0.9720930232558139,dataset_14
0,0.896,122.9495450258255,0.812,0.98,0.8864628820960698,0.9759615384615384,dataset_15
0,0.928,97.45472052693367,0.888,0.968,0.925,0.9652173913043478,dataset_19
0,0.914,106.51919773221016,0.852,0.976,0.908315565031983,0.9726027397260274,dataset_18
0,0.9,150.71124079823494,0.916,0.884,0.9015748031496063,0.8875968992248062,dataset_11
0,0.898,123.54956737160683,0.82,0.976,0.8893709327548807,0.9715639810426541,dataset_8
0,0.912,109.00344437360764,0.852,0.972,0.9063829787234042,0.9681818181818181,dataset_5
