,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.836,182.08549171686172,0.684,0.988,0.8066037735849056,0.9827586206896551,dataset_12
0,0.828,190.9488096833229,0.66,0.996,0.7932692307692307,0.9939759036144579,dataset_6
0,0.794,228.74339944124222,0.592,0.996,0.7418546365914787,0.9932885906040269,dataset_1
0,0.782,248.99330788850784,0.564,1.0,0.7212276214833759,1.0,dataset_9
0,0.824,194.24664762616158,0.652,0.996,0.7874396135265701,0.9939024390243902,dataset_7
0,0.828,188.1591293513775,0.66,0.996,0.7932692307692307,0.9939759036144579,dataset_3
0,0.828,194.98047477006912,0.66,0.996,0.7932692307692307,0.9939759036144579,dataset_20
0,0.836,188.93613129854202,0.676,0.996,0.8047619047619048,0.9941176470588236,dataset_2
0,0.812,196.90676376223564,0.636,0.988,0.7718446601941747,0.9814814814814815,dataset_10
0,0.768,247.1087151169777,0.536,1.0,0.6979166666666666,1.0,dataset_17
0,0.834,184.72784274816513,0.68,0.988,0.8037825059101655,0.9826589595375722,dataset_13
0,0.804,206.85492408275604,0.608,1.0,0.7562189054726368,1.0,dataset_4
0,0.778,218.42112281918526,0.556,1.0,0.7146529562982005,1.0,dataset_16
0,0.84,179.5493579208851,0.688,0.992,0.8113207547169812,0.9885057471264368,dataset_14
0,0.804,201.86061456799507,0.608,1.0,0.7562189054726368,1.0,dataset_15
0,0.838,177.86710089445114,0.688,0.988,0.8094117647058824,0.9828571428571429,dataset_19
0,0.802,220.56318083405495,0.608,0.996,0.7543424317617866,0.9934640522875817,dataset_18
0,0.812,200.30698156356812,0.624,1.0,0.7684729064039408,1.0,dataset_11
0,0.79,217.86322578787804,0.584,0.996,0.7355163727959698,0.9931972789115646,dataset_8
0,0.834,181.2148860991001,0.684,0.984,0.8047058823529412,0.9771428571428571,dataset_5
