,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.876,132.35223591327667,0.976,0.776,0.8872727272727273,0.8133333333333334,dataset_12
0,0.906,116.39792391657829,0.968,0.844,0.911487758945386,0.8612099644128114,dataset_6
0,0.898,127.82090103626251,0.96,0.836,0.903954802259887,0.8540925266903915,dataset_1
0,0.906,108.72779431939125,0.96,0.852,0.9108159392789373,0.8664259927797834,dataset_9
0,0.874,142.95014888048172,0.976,0.772,0.8856624319419237,0.8106312292358804,dataset_7
0,0.888,124.91213509440422,0.956,0.82,0.8951310861423221,0.8415492957746479,dataset_3
0,0.926,99.50233909487724,0.964,0.888,0.928709055876686,0.895910780669145,dataset_20
0,0.868,140.20163291692734,0.964,0.772,0.8795620437956204,0.8087248322147651,dataset_2
0,0.888,131.96301347017288,0.964,0.812,0.895910780669145,0.8368055555555556,dataset_10
0,0.846,223.41253271698952,0.84,0.852,0.8450704225352113,0.8502024291497976,dataset_17
0,0.86,145.49793419241905,0.98,0.74,0.875,0.7903225806451613,dataset_13
0,0.888,132.0113028883934,0.96,0.816,0.8955223880597015,0.8391608391608392,dataset_4
0,0.916,117.4447480738163,0.96,0.872,0.9195402298850575,0.8823529411764706,dataset_16
0,0.856,152.42865073680878,0.98,0.732,0.8718861209964412,0.7852564102564102,dataset_14
0,0.892,121.50628966093063,0.968,0.816,0.8996282527881041,0.8402777777777778,dataset_15
0,0.866,143.50293219089508,0.968,0.764,0.8784029038112523,0.8039867109634552,dataset_19
0,0.888,132.31856435537338,0.964,0.812,0.895910780669145,0.8368055555555556,dataset_18
0,0.86,163.31387609243393,0.98,0.74,0.875,0.7903225806451613,dataset_11
0,0.89,130.24288129806519,0.96,0.82,0.897196261682243,0.8421052631578947,dataset_8
0,0.92,107.38444060087204,0.956,0.884,0.9227799227799228,0.8917910447761194,dataset_5
