,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.932,82.82704608142376,0.948,0.916,0.9330708661417323,0.9186046511627907,dataset_6
0,0.936,81.52509647607803,0.96,0.912,0.9375,0.916030534351145,dataset_3
0,0.93,88.06547705829144,0.952,0.908,0.9315068493150684,0.9118773946360154,dataset_2
0,0.924,92.86011831462383,0.952,0.896,0.9260700389105059,0.9015151515151515,dataset_4
0,0.914,107.57073257863522,0.972,0.856,0.9187145557655955,0.8709677419354839,dataset_5
