,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.92,103.80253884196281,0.964,0.876,0.9233716475095786,0.8860294117647058,dataset_6
0,0.914,104.52658224105835,0.964,0.864,0.9180952380952381,0.8763636363636363,dataset_3
0,0.926,96.29792821407318,0.948,0.904,0.9275929549902152,0.9080459770114943,dataset_2
0,0.934,94.4090920984745,0.956,0.912,0.9354207436399217,0.9157088122605364,dataset_4
0,0.93,94.56935192644596,0.944,0.916,0.9309664694280079,0.9182879377431906,dataset_5
