,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.914,94.30172021687031,0.88,0.948,0.9109730848861284,0.944206008583691,dataset_6
0,0.926,88.30334663391113,0.904,0.948,0.9243353783231084,0.9456066945606695,dataset_3
0,0.914,95.66795715689659,0.864,0.964,0.9094736842105263,0.96,dataset_2
0,0.932,84.0234502851963,0.92,0.944,0.9311740890688259,0.9426229508196722,dataset_4
0,0.912,97.41756980121136,0.868,0.956,0.9079497907949791,0.9517543859649122,dataset_5
