,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.868,158.65603904426098,0.984,0.752,0.8817204301075269,0.7987012987012987,dataset_6
0,0.862,160.58124187588692,0.984,0.74,0.8770053475935828,0.7909967845659164,dataset_3
0,0.886,134.3072859942913,0.984,0.788,0.8961748633879781,0.822742474916388,dataset_2
0,0.848,171.3346388489008,0.984,0.712,0.8661971830985915,0.7735849056603774,dataset_4
0,0.886,134.63283683359623,0.976,0.796,0.8954128440366973,0.8271186440677966,dataset_5
