,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.932,95.71292451024055,0.972,0.892,0.9346153846153846,0.9,dataset_6
0,0.928,97.27914243936539,0.968,0.888,0.9307692307692308,0.8962962962962963,dataset_3
0,0.928,96.09293384850025,0.972,0.884,0.9310344827586207,0.8933823529411765,dataset_2
0,0.926,90.94245964288712,0.96,0.892,0.9284332688588007,0.898876404494382,dataset_4
0,0.928,99.62220330536366,0.964,0.892,0.9305019305019305,0.8992537313432836,dataset_5
