,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.91,100.99619987607002,0.936,0.884,0.9122807017543859,0.8897338403041825,dataset_6
0,0.924,102.54884815216064,0.92,0.928,0.9236947791164659,0.9274193548387096,dataset_3
0,0.922,103.85736548900604,0.9,0.944,0.9202453987730062,0.9414225941422594,dataset_2
0,0.908,105.43613025546074,0.928,0.888,0.9098039215686274,0.8923076923076924,dataset_4
0,0.918,98.61336907744408,0.884,0.952,0.9151138716356108,0.9484978540772532,dataset_5
