,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.918,100.42041598260403,0.876,0.96,0.9144050104384134,0.9563318777292577,dataset_6
0,0.94,84.68786531686783,0.936,0.944,0.9397590361445783,0.9435483870967742,dataset_3
0,0.92,100.47317464649677,0.86,0.98,0.9148936170212766,0.9772727272727273,dataset_2
0,0.924,92.80498759448528,0.908,0.94,0.9227642276422764,0.9380165289256198,dataset_4
0,0.92,98.87713851034641,0.86,0.98,0.9148936170212766,0.9772727272727273,dataset_5
