,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.928,93.67229169607162,0.948,0.908,0.9294117647058824,0.9115384615384615,dataset_6
0,0.932,101.94034007191658,0.94,0.924,0.9325396825396826,0.9251968503937008,dataset_3
0,0.928,92.72094911336899,0.956,0.9,0.9299610894941635,0.9053030303030303,dataset_2
0,0.924,91.9303851723671,0.944,0.904,0.9254901960784314,0.9076923076923077,dataset_4
0,0.932,92.77695965766907,0.964,0.9,0.9341085271317829,0.9060150375939849,dataset_5
