,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.926,85.15402065217495,0.876,0.976,0.9221052631578948,0.9733333333333334,dataset_6
0,0.942,84.39552184939384,0.924,0.96,0.9409368635437881,0.9585062240663901,dataset_3
0,0.924,85.24015136063099,0.876,0.972,0.9201680672268907,0.9690265486725663,dataset_2
0,0.946,80.26683423668146,0.924,0.968,0.9447852760736196,0.9665271966527197,dataset_4
0,0.934,88.59874171763659,0.908,0.96,0.9322381930184805,0.9578059071729957,dataset_5
