,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.942,94.55109643936157,0.932,0.952,0.9414141414141414,0.9510204081632653,dataset_6
0,0.932,97.03869214653969,0.936,0.928,0.9322709163346613,0.9285714285714286,dataset_3
0,0.934,91.47028717398643,0.936,0.932,0.9341317365269461,0.9322709163346613,dataset_2
0,0.944,92.49760228395462,0.96,0.928,0.9448818897637795,0.9302325581395349,dataset_4
0,0.936,89.43280065059662,0.928,0.944,0.9354838709677419,0.943089430894309,dataset_5
