,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.924,98.65361966192722,0.964,0.884,0.926923076923077,0.8925925925925926,dataset_6
0,0.904,112.93745172023773,0.964,0.844,0.909433962264151,0.8607142857142858,dataset_3
0,0.906,107.40881723165512,0.964,0.848,0.9111531190926276,0.8637992831541219,dataset_2
0,0.916,107.62258197367191,0.968,0.864,0.9201520912547528,0.8768115942028986,dataset_4
0,0.926,91.49224063754082,0.956,0.896,0.9281553398058252,0.9018867924528302,dataset_5
