,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.94,88.96564829349518,0.96,0.92,0.9411764705882353,0.9230769230769231,dataset_6
0,0.944,89.13784044981003,0.956,0.932,0.9446640316205533,0.93359375,dataset_3
0,0.942,87.84454554319382,0.956,0.928,0.9428007889546351,0.9299610894941635,dataset_2
0,0.944,84.94644010066986,0.96,0.928,0.9448818897637795,0.9302325581395349,dataset_4
0,0.934,87.87368734180927,0.948,0.92,0.9349112426035503,0.9221789883268483,dataset_5
