,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.938,84.61917328834534,0.936,0.94,0.9378757515030061,0.9397590361445783,dataset_6
0,0.942,85.83140504360199,0.956,0.928,0.9428007889546351,0.9299610894941635,dataset_3
0,0.934,86.42063224315643,0.94,0.928,0.9343936381709742,0.9288537549407114,dataset_2
0,0.934,87.85852502286434,0.936,0.932,0.9341317365269461,0.9322709163346613,dataset_4
0,0.94,90.56119880080223,0.952,0.928,0.9407114624505929,0.9296875,dataset_5
