,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.912,112.36007408797741,0.872,0.952,0.9083333333333333,0.9478260869565217,dataset_6
0,0.91,101.50224596261978,0.892,0.928,0.9083503054989817,0.9253112033195021,dataset_3
0,0.908,112.33763933181763,0.848,0.968,0.902127659574468,0.9636363636363636,dataset_2
0,0.882,133.95991790294647,0.788,0.976,0.869757174392936,0.9704433497536946,dataset_4
0,0.89,128.73302026093006,0.804,0.976,0.8796498905908097,0.9710144927536232,dataset_5
