,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.932,88.83470898866653,0.9,0.964,0.9297520661157025,0.9615384615384616,dataset_6
0,0.924,89.43938733637333,0.932,0.916,0.9246031746031746,0.9173228346456693,dataset_3
0,0.928,85.03360506892204,0.912,0.944,0.926829268292683,0.9421487603305785,dataset_2
0,0.938,83.56171707808971,0.924,0.952,0.9371196754563894,0.9506172839506173,dataset_4
0,0.928,90.44296911358833,0.904,0.952,0.9262295081967213,0.9495798319327731,dataset_5
