,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.942,90.9334357380867,0.944,0.94,0.9421157684630739,0.9402390438247012,dataset_6
0,0.926,91.13692058622837,0.916,0.936,0.9252525252525252,0.9346938775510204,dataset_3
0,0.928,92.37808109819889,0.916,0.94,0.9271255060728745,0.9385245901639344,dataset_2
0,0.932,88.20865353941917,0.908,0.956,0.930327868852459,0.9537815126050421,dataset_4
0,0.938,93.40525056421757,0.916,0.96,0.9366053169734151,0.9581589958158996,dataset_5
