,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.924,102.85686421394348,0.916,0.932,0.9233870967741935,0.9308943089430894,dataset_6
0,0.908,110.20755948126316,0.928,0.888,0.9098039215686274,0.8923076923076924,dataset_3
0,0.908,112.94947834312916,0.964,0.852,0.9128787878787878,0.8669064748201439,dataset_2
0,0.924,105.44594970345497,0.96,0.888,0.9266409266409267,0.8955223880597015,dataset_4
0,0.918,103.32353523373604,0.96,0.876,0.9213051823416507,0.8856088560885609,dataset_5
