,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.922,95.87110908329487,0.968,0.876,0.9254302103250478,0.8864468864468864,dataset_6
0,0.93,97.11156938970089,0.924,0.936,0.9295774647887324,0.9352226720647774,dataset_3
0,0.93,90.95995034277439,0.924,0.936,0.9295774647887324,0.9352226720647774,dataset_2
0,0.94,88.93406404554844,0.944,0.936,0.9402390438247012,0.9365079365079365,dataset_4
0,0.938,92.8788540661335,0.908,0.968,0.9360824742268041,0.9659574468085106,dataset_5
